Year,Month,State,Generation
2013,Jan,AK,59.02896
2013,Feb,AK,53.86871
2013,Mar,AK,56.43259
2013,Apr,AK,39.84225
2013,May,AK,37.15862
2013,Jun,AK,52.75773
2013,Jul,AK,53.09942
2013,Aug,AK,54.29455
2013,Sep,AK,54.19169
2013,Oct,AK,54.73491
2013,Nov,AK,55.34585
2013,Dec,AK,53.86546
2013,Jan,AL,3558.45063
2013,Feb,AL,3181.59615
2013,Mar,AL,3608.9408
2013,Apr,AL,3696.58144
2013,May,AL,3956.0578
2013,Jun,AL,4311.83648
2013,Jul,AL,4260.02458
2013,Aug,AL,4691.31095
2013,Sep,AL,4418.15727
2013,Oct,AL,4031.6635
2013,Nov,AL,3615.62218
2013,Dec,AL,3720.24215
2013,Jan,AR,2717.8695
2013,Feb,AR,2424.8392
2013,Mar,AR,2467.32023
2013,Apr,AR,2330.87224
2013,May,AR,2412.21905
2013,Jun,AR,2865.46775
2013,Jul,AR,3207.09775
2013,Aug,AR,3262.29588
2013,Sep,AR,2910.65909
2013,Oct,AR,2240.12065
2013,Nov,AR,2014.82851
2013,Dec,AR,3035.64471
2013,Jan,AZ,3755.04712
2013,Feb,AZ,2798.26809
2013,Mar,AZ,3245.83559
2013,Apr,AZ,3554.07508
2013,May,AZ,3862.64865
2013,Jun,AZ,3799.20792
2013,Jul,AZ,3918.46184
2013,Aug,AZ,3917.2158
2013,Sep,AZ,3744.77098
2013,Oct,AZ,3694.15563
2013,Nov,AZ,3392.43393
2013,Dec,AZ,3810.2552
2013,Jan,CA,65.33766
2013,Feb,CA,60.35892
2013,Mar,CA,29.97111
2013,Apr,CA,58.31894
2013,May,CA,54.20457
2013,Jun,CA,119.60669
2013,Jul,CA,118.02983
2013,Aug,CA,111.2612
2013,Sep,CA,100.76612
2013,Oct,CA,46.36194
2013,Nov,CA,30.41019
2013,Dec,CA,28.54378
2013,Jan,CO,3111.69995
2013,Feb,CO,2728.07522
2013,Mar,CO,2663.22838
2013,Apr,CO,2617.09954
2013,May,CO,2767.49388
2013,Jun,CO,2737.53976
2013,Jul,CO,3107.33459
2013,Aug,CO,3253.87889
2013,Sep,CO,2396.75925
2013,Oct,CO,2563.37799
2013,Nov,CO,2770.34436
2013,Dec,CO,2986.60502
2013,Jan,CT,117.95148
2013,Feb,CT,185.25487
2013,Mar,CT,2.20602
2013,Apr,CT,-2.1208
2013,May,CT,-1.24869
2013,Jun,CT,23.59438
2013,Jul,CT,95.8988
2013,Aug,CT,-1.98016
2013,Sep,CT,6.89725
2013,Oct,CT,-1.32042
2013,Nov,CT,46.117
2013,Dec,CT,209.4028
2013,Jan,DC,
2013,Feb,DC,
2013,Mar,DC,
2013,Apr,DC,
2013,May,DC,
2013,Jun,DC,
2013,Jul,DC,
2013,Aug,DC,
2013,Sep,DC,
2013,Oct,DC,
2013,Nov,DC,
2013,Dec,DC,
2013,Jan,DE,93.08864
2013,Feb,DE,56.83318
2013,Mar,DE,99.46388
2013,Apr,DE,107.65884
2013,May,DE,113.45759
2013,Jun,DE,170.01214
2013,Jul,DE,212.70769
2013,Aug,DE,156.64423
2013,Sep,DE,126.14479
2013,Oct,DE,147.1282
2013,Nov,DE,141.74219
2013,Dec,DE,119.83914
2013,Jan,FL,3255.45471
2013,Feb,FL,2701.30621
2013,Mar,FL,3442.02824
2013,Apr,FL,3583.06336
2013,May,FL,4122.63812
2013,Jun,FL,4429.40239
2013,Jul,FL,4685.40812
2013,Aug,FL,4704.10653
2013,Sep,FL,4203.02009
2013,Oct,FL,3981.49305
2013,Nov,FL,3468.20486
2013,Dec,FL,3766.42904
2013,Jan,GA,3251.93822
2013,Feb,GA,2196.31964
2013,Mar,GA,2920.58489
2013,Apr,GA,2186.16458
2013,May,GA,2964.2186
2013,Jun,GA,4428.49153
2013,Jul,GA,4475.51372
2013,Aug,GA,4398.40804
2013,Sep,GA,3967.71799
2013,Oct,GA,2768.44502
2013,Nov,GA,2881.92054
2013,Dec,GA,3793.14351
2013,Jan,HI,92.05577
2013,Feb,HI,71.58245
2013,Mar,HI,82.97795
2013,Apr,HI,125.85071
2013,May,HI,132.17098
2013,Jun,HI,127.0716
2013,Jul,HI,129.44515
2013,Aug,HI,134.22916
2013,Sep,HI,128.67485
2013,Oct,HI,121.10066
2013,Nov,HI,124.08163
2013,Dec,HI,134.51295
2013,Jan,IA,3097.7573
2013,Feb,IA,2611.40601
2013,Mar,IA,2644.1252
2013,Apr,IA,2327.96733
2013,May,IA,2488.61198
2013,Jun,IA,2990.75564
2013,Jul,IA,3468.1232
2013,Aug,IA,3588.54698
2013,Sep,IA,2660.24358
2013,Oct,IA,2176.72252
2013,Nov,IA,2127.8643
2013,Dec,IA,3120.22108
2013,Jan,ID,11.00494
2013,Feb,ID,7.70834
2013,Mar,ID,10.49779
2013,Apr,ID,7.4897
2013,May,ID,7.3598
2013,Jun,ID,4.33406
2013,Jul,ID,0.0726
2013,Aug,ID,1.73486
2013,Sep,ID,5.64502
2013,Oct,ID,11.82619
2013,Nov,ID,11.70912
2013,Dec,ID,12.23569
2013,Jan,IL,7812.61379
2013,Feb,IL,7592.77944
2013,Mar,IL,7271.65057
2013,Apr,IL,6215.15321
2013,May,IL,5892.50564
2013,Jun,IL,7092.24739
2013,Jul,IL,7818.44102
2013,Aug,IL,7976.45674
2013,Sep,IL,7708.14502
2013,Oct,IL,7368.78918
2013,Nov,IL,6746.84991
2013,Dec,IL,8431.50757
2013,Jan,IN,8630.92837
2013,Feb,IN,6983.32298
2013,Mar,IN,7080.82896
2013,Apr,IN,7024.05792
2013,May,IN,7050.86025
2013,Jun,IN,7647.38142
2013,Jul,IN,9111.7217
2013,Aug,IN,8184.28597
2013,Sep,IN,7576.34261
2013,Oct,IN,7362.87873
2013,Nov,IN,7356.2444
2013,Dec,IN,8663.08867
2013,Jan,KS,2585.62393
2013,Feb,KS,2663.93974
2013,Mar,KS,2255.15731
2013,Apr,KS,2146.81244
2013,May,KS,2216.29629
2013,Jun,KS,2399.50616
2013,Jul,KS,3038.04718
2013,Aug,KS,2979.47808
2013,Sep,KS,2652.97199
2013,Oct,KS,2146.3685
2013,Nov,KS,2121.05597
2013,Dec,KS,2562.00448
2013,Jan,KY,7662.56532
2013,Feb,KY,7152.59511
2013,Mar,KY,7940.58929
2013,Apr,KY,5637.3428
2013,May,KY,6033.10351
2013,Jun,KY,6852.13844
2013,Jul,KY,7113.16838
2013,Aug,KY,7712.97052
2013,Sep,KY,6899.10914
2013,Oct,KY,6491.23851
2013,Nov,KY,6174.23502
2013,Dec,KY,7634.20443
2013,Jan,LA,1860.25605
2013,Feb,LA,1696.21227
2013,Mar,LA,1903.43347
2013,Apr,LA,1228.25389
2013,May,LA,1735.95835
2013,Jun,LA,1994.13529
2013,Jul,LA,1957.16957
2013,Aug,LA,2046.2518
