Year,Month,State,Generation
2013,Jan,AK,345.35691
2013,Feb,AK,281.41145
2013,Mar,AK,305.91009
2013,Apr,AK,270.46033
2013,May,AK,276.19214
2013,Jun,AK,242.52067
2013,Jul,AK,277.69948
2013,Aug,AK,264.2221
2013,Sep,AK,277.77343
2013,Oct,AK,240.55181
2013,Nov,AK,287.61911
2013,Dec,AK,351.28793
2013,Jan,AL,3750.66285
2013,Feb,AL,4361.56067
2013,Mar,AL,4451.46446
2013,Apr,AL,3145.13501
2013,May,AL,2987.97828
2013,Jun,AL,4043.79336
2013,Jul,AL,4211.91554
2013,Aug,AL,4564.14284
2013,Sep,AL,3695.83727
2013,Oct,AL,3758.83342
2013,Nov,AL,3807.07508
2013,Dec,AL,3807.98647
2013,Jan,AR,1276.88621
2013,Feb,AR,1213.8064
2013,Mar,AR,1252.5748
2013,Apr,AR,684.5646
2013,May,AR,748.51902
2013,Jun,AR,1344.75286
2013,Jul,AR,1322.99554
2013,Aug,AR,1295.17564
2013,Sep,AR,829.28289
2013,Oct,AR,745.69417
2013,Nov,AR,557.50385
2013,Dec,AR,867.6211
2013,Jan,AZ,1497.39524
2013,Feb,AZ,1166.90028
2013,Mar,AZ,1230.89329
2013,Apr,AZ,1664.9488
2013,May,AZ,1500.21293
2013,Jun,AZ,3412.2957
2013,Jul,AZ,4701.07486
2013,Aug,AZ,4728.58243
2013,Sep,AZ,3661.95389
2013,Oct,AZ,2033.36892
2013,Nov,AZ,1584.2469
2013,Dec,AZ,2502.75805
2013,Jan,CA,9693.41139
2013,Feb,CA,8942.45506
2013,Mar,CA,8590.14183
2013,Apr,CA,7392.38499
2013,May,CA,7788.85379
2013,Jun,CA,9217.10201
2013,Jul,CA,11679.53674
2013,Aug,CA,11937.3963
2013,Sep,CA,11891.25556
2013,Oct,CA,10315.60771
2013,Nov,CA,10189.72896
2013,Dec,CA,11884.98495
2013,Jan,CO,807.21429
2013,Feb,CO,606.13352
2013,Mar,CO,844.71214
2013,Apr,CO,665.40064
2013,May,CO,708.63046
2013,Jun,CO,1069.92127
2013,Jul,CO,1267.89056
2013,Aug,CO,1207.84859
2013,Sep,CO,1138.52012
2013,Oct,CO,660.46307
2013,Nov,CO,673.20947
2013,Dec,CO,1058.86038
2013,Jan,CT,1290.95435
2013,Feb,CT,1230.03679
2013,Mar,CT,1317.52252
2013,Apr,CT,1239.08751
2013,May,CT,1414.31859
2013,Jun,CT,1235.9363
2013,Jul,CT,1632.32937
2013,Aug,CT,1449.29512
2013,Sep,CT,1349.13272
2013,Oct,CT,1210.50195
2013,Nov,CT,1240.30062
2013,Dec,CT,1170.88119
2013,Jan,DC,5.04778
2013,Feb,DC,5.04702
2013,Mar,DC,5.1073
2013,Apr,DC,4.9906
2013,May,DC,5.33605
2013,Jun,DC,5.96759
2013,Jul,DC,6.42078
2013,Aug,DC,6.69003
2013,Sep,DC,6.0465
2013,Oct,DC,5.59004
2013,Nov,DC,4.81412
2013,Dec,DC,4.79428
2013,Jan,DE,372.97366
2013,Feb,DE,323.72523
2013,Mar,DE,656.19336
2013,Apr,DE,383.46418
2013,May,DE,497.19626
2013,Jun,DE,542.65864
2013,Jul,DE,713.61018
2013,Aug,DE,609.04506
2013,Sep,DE,539.13059
2013,Oct,DE,517.6861
2013,Nov,DE,374.96913
2013,Dec,DE,400.63548
2013,Jan,FL,10264.78025
2013,Feb,FL,10332.98337
2013,Mar,FL,10592.55822
2013,Apr,FL,10660.96726
2013,May,FL,11672.0218
2013,Jun,FL,13006.49467
2013,Jul,FL,12916.84216
2013,Aug,FL,14203.28319
